Date,Value,Anomaly
189501,34.2,-2.4
189601,33.2,-3.4
189701,34,-2.6
189801,38.5,1.9
189901,34.9,-1.7
190001,36.1,-0.5
190101,35.4,-1.2
190201,33.6,-3
190301,33.9,-2.7
190401,28.3,-8.3
190501,32.2,-4.4
190601,40.7,4.1
190701,39,2.4
190801,36.8,0.2
190901,38.1,1.5
191001,36.1,-0.5
191101,40.6,4
191201,28.3,-8.3
191301,45.9,9.3
191401,36,-0.6
191501,38,1.4
191601,41.4,4.8
191701,37.4,0.8
191801,25.5,-11.1
191901,39.6,3
192001,28.5,-8.1
192101,38.6,2
192201,32.2,-4.4
192301,34,-2.6
192401,38.2,1.6
192501,32.6,-4
192601,36,-0.6
192701,35.6,-1
192801,38.8,2.2
192901,36.6,0
193001,37.3,0.7
193101,37,0.4
193201,46.4,9.8
193301,44.5,7.9
193401,38.6,2
193501,33.9,-2.7
193601,33.1,-3.5
193701,44.5,7.9
193801,36.1,-0.5
193901,35.6,-1
194001,28.8,-7.8
194101,33.4,-3.2
194201,35.3,-1.3
194301,35,-1.6
194401,37.8,1.2
194501,30.3,-6.3
194601,39,2.4
194701,41.8,5.2
194801,29,-7.6
194901,42.4,5.8
195001,46.9,10.3
195101,41.2,4.6
195201,41.2,4.6
195301,41.2,4.6
195401,35.9,-0.7
195501,34.5,-2.1
195601,35.1,-1.5
195701,32.6,-4
195801,35.2,-1.4
195901,35.9,-0.7
196001,36.7,0.1
196101,30.9,-5.7
196201,36.6,0
196301,34,-2.6
196401,39.6,3
196501,33.4,-3.2
196601,36.4,-0.2
196701,41,4.4
196801,31.1,-5.5
196901,35.1,-1.5
197001,29.3,-7.3
197101,30.9,-5.7
197201,39.8,3.2
197301,39.9,3.3
197401,39.1,2.5
197501,41.1,4.5
197601,32.5,-4.1
197701,26.1,-10.5
197801,32.2,-4.4
197901,38.6,2
198001,37.6,1
198101,30.6,-6
198201,30.9,-5.7
198301,38,1.4
198401,33.5,-3.1
198501,33,-3.6
198601,39.2,2.6
198701,35.9,-0.7
198801,34.1,-2.5
198901,42.4,5.8
199001,45.9,9.3
199101,39.6,3
199201,40.9,4.3
199301,40.9,4.3
199401,31.6,-5
199501,41.5,4.9
199601,37,0.4
199701,39.2,2.6
199801,45.8,9.2
199901,40.8,4.2
200001,37.9,1.3
200101,38.8,2.2
200201,45.4,8.8
200301,32.9,-3.7
200401,31,-5.6
200501,37.4,0.8
200601,47.6,11
200701,43.6,7
200801,42.4,5.8
200901,33.4,-3.2
201001,38.1,1.5
201101,34.8,-1.8
201201,44.2,7.6
201301,40.8,4.2
201401,35.5,-1.1
201501,36.1,-0.5
201601,40.8,4.2
201701,42.8,6.2
201801,38.7,2.1
